2025-12-22 11:58:19.098 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 11:58:31.693 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 12:39:17.207 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 12:39:35.604 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 12:43:32.139 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 12:46:41.937 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 12:47:59.300 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 12:50:42.947 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 19:10:32.834 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 19:11:08.771 | INFO     | log:<module>:345 | 日志系统初始化完成 | 级别=DEBUG 目录=C:\Users\夜袭\Desktop\mybot\logs
2025-12-22 19:11:18.309 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:18.314 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.318 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.322 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.325 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.328 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.331 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.335 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.339 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.342 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.345 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.392 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:18.408 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.409 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:18.413 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.418 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.422 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.425 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.428 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.445 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.446 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:18.450 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.455 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.458 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.461 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.464 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.468 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.470 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.473 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.476 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.479 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.482 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.486 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.488 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:18.504 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
